Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,AccelLPF x,AccelLPF y,AccelLPF z,GyroLPF x,GyroLPF y,GyroLPF z
0,0,0,0,0,0,0,0,0,0,0,0
0.09332217,5.039745,7.327333,-0.0033051274,0.008068263,-0.04944021,0.023330543,1.2599362,1.8318332,-8.26E-04,0.0020170656,-0.012360052
-0.69912446,6.8688364,7.832488,0.019093245,0.016538922,0.0017909799,-0.15728322,2.6621614,3.331997,0.0041536,0.00564753,-0.008822294
0.0358638,5.9351377,4.485538,0.027034484,0.022281045,0.0053339945,-0.108996466,3.4804053,3.6203823,0.0098738205,0.009805908,-0.0052832216
-0.25382215,5.7579746,7.303392,0.020314977,-0.015959082,-0.09484782,-0.14520289,4.0497975,4.541135,0.012484109,0.0033646608,-0.027674371
-0.08623521,5.736428,4.528631,0.0013781702,-0.058353096,-0.21592121,-0.13046098,4.471455,4.5380087,0.009707624,-0.012064778,-0.07473608
0.49792486,5.844162,1.2870219,0.039373957,-0.05273313,-0.12514672,0.026635483,4.814632,3.725262,0.017124208,-0.022231866,-0.08733874
-3.6055603,8.551888,9.072631,0.0161611,-0.17759389,-0.5146341,-0.88141346,5.748946,5.062104,0.016883431,-0.061072372,-0.19416258
-1.484389,6.009355,10.303198,0.033998348,-0.12017261,0.18908207,-1.0321573,5.8140483,6.3723774,0.02116216,-0.07584743,-0.09835142
-0.89304644,2.5833998,8.567476,-0.02794334,-0.153648,0.10514929,-0.9973796,5.0063863,6.921152,0.008885785,-0.095297575,-0.04747624
4.314118,6.586333,6.8963947,0.040840033,0.19405623,0.64002246,0.33049482,5.401373,6.914963,0.016874347,-0.022959128,0.12439843
0.5553832,7.541578,4.0378413,0.0074868174,0.19772139,-0.15373519,0.3867169,5.9364243,6.1956825,1.45E-02,0.032211002,0.054865025
1.2209427,5.8585267,9.707067,0.0694285,-0.007895668,-0.11867155,0.5952734,5.9169497,7.0735283,0.028252725,0.022184335,0.011480883
