Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,AccelLPF x,AccelLPF y,AccelLPF z,GyroLPF x,GyroLPF y,GyroLPF z
0.35427898,7.534396,10.875387,0.017935423,-0.10531872,-0.2880149,0.088569745,1.883599,2.7188468,0.004483856,-0.02632968,-0.07200372
-0.6009666,4.355033,6.834149,-0.03855502,-0.2705431,-0.29522893,-0.08381434,2.5014575,3.7476723,-0.006275863,-0.08738303,-0.12781003
-1.0546483,8.737431,3.0059845,-0.024301512,0.08015146,0.37701315,-0.32652283,4.0604506,3.5622504,-0.010782275,-0.045499407,-0.0016042292
-0.8870613,6.356499,8.446574,0.053714648,-0.11177642,0.030856483,-0.46665746,4.634463,4.7833314,0.0053419545,-0.06206866,0.0065109488
1.0820849,7.5762925,10.461208,0.045860678,0.10592413,0.16483948,-0.079471886,5.3699203,6.2028008,0.015471635,-0.020070463,0.046093084
1.372968,8.184394,6.3541317,-0.013655009,-0.13615282,-0.023481378,0.28363806,6.073539,6.2406335,0.008189974,-0.049091052,0.028699469
0.09571628,8.925367,2.6121554,0.0701789,0.037449095,0.21446498,0.23665762,6.786496,5.333514,0.023687206,-0.027456015,0.07514085
0.10768677,6.1960945,3.4225578,0.07780018,0.09492856,0.05982894,0.2044149,6.638896,4.855775,0.03721545,0.0031401291,0.071312875
1.2676276,4.6183834,4.6243954,-0.03622792,0.020403069,-0.110282354,0.47021806,6.133768,4.79793,0.018854607,0.007455864,0.025914066
-1.4951625,6.2595387,7.678069,-0.010862481,0.10220076,0.07443151,-0.021127075,6.1652107,5.5179644,0.011425335,0.03114209,0.038043424
0.61164457,14.89625,5.5437293,-0.043616462,0.061825514,-0.1256994,0.13706583,8.347971,5.5244055,-0.0023351144,0.038812947,-0.0028922819
-0.020397425,7.114232,9.452095,0.035330504,0.04623392,0.05878174,0.097700015,8.039536,6.5063276,0.0070812907,0.04066819,0.012526223
0.8187341,9.781258,11.366178,0.053656444,0.01790142,-0.04320359,0.27795854,8.474967,7.72129,0.018725079,0.034976497,-0.00140623
-0.907411,4.655492,-1.2770579,-0.16654572,-0.02683714,-0.15711533,-0.01838383,7.520098,5.471703,-0.027592622,0.019523088,-0.040333502
-0.26818675,5.39886,10.634781,0.16401935,-0.13237129,-0.049661305,-0.08083456,6.9897885,6.7624726,0.020310372,-0.018450506,-0.04266545
1.132361,8.5064,19.407957,0.018982623,-0.059242066,0.04231747,0.22246432,7.3689413,9.923843,0.019978434,-0.028648395,-0.021419723
-1.6531727,14.689161,-6.625475,0.0047291094,0.0037642727,-0.0060862857,-0.24644494,9.198997,5.786514,0.016166102,-0.02054523,-0.017586363
-0.97085464,7.7666235,13.742321,-0.11267328,-0.003566105,0.029809285,-0.42754737,8.840903,7.7754655,-0.016043745,-0.016300447,-0.005737452
