Accel x,Accel y,Accel z,Gyro x,Gyro y,Gyro z,AccelLPF x,AccelLPF y,AccelLPF z,GyroLPF x,GyroLPF y,GyroLPF z
2.4084158,7.469755,9.709461,2.49E-04,0.13384938,0.5201883,0.60210395,1.8674388,2.4273653,6.24E-05,0.033462346,0.13004707
6.442472,5.923167,6.261959,0.045860667,0.40792403,0.68520314,2.062196,2.881371,3.3860137,0.011511936,0.12707776,0.26883608
8.005818,6.495357,10.059,0.04610502,0.4179422,0.49827853,3.5481017,3.7848675,5.0542603,0.020160206,0.19979388,0.3261967
-0.5770255,9.203083,6.6833205,0.15691587,0.20707168,-0.37257025,2.51682,5.1394215,5.4615254,0.054349124,0.20161332,0.15150496
-0.8427704,7.5535483,7.9426165,0.11097884,-0.21772365,-0.96242124,1.6769223,5.7429533,6.081798,0.068506554,0.09677908,-0.12697658
-3.1339228,6.014143,6.3337817,-0.023655737,-0.26891413,-0.3888192,0.47421098,5.810751,6.144794,0.045465983,0.0053557754,-0.19243723
0.07177529,5.0972033,6.913154,-0.07790053,-0.19524382,-0.110387065,0.37360206,5.6323643,6.336884,0.014624355,-0.044794124,-0.1719247
-0.5818137,7.7570467,5.6466756,0.01934914,0.25068742,0.71098167,0.13474813,6.163535,6.164332,0.015805552,0.02907626,0.0488019
3.9645798,9.001978,5.7998977,0.0290008,0.34036234,0.5250344,1.092206,6.873146,6.073223,0.019104363,0.106897786,0.16786003
-2.9136658,8.266991,1.8783642,0.054901462,-0.18082741,-0.72161824,0.09073806,7.221607,5.0245085,0.028053638,0.034966484,-0.054509535
1.2616423,5.932744,7.133411,0.043295037,-0.28345272,-0.25772765,0.38346413,6.899391,5.551734,0.031863987,-0.04463832,-0.10531406
-0.96726364,9.9117365,7.9162817,-0.055298537,0.2282076,0.41972128,0.04578218,7.6524773,6.142871,0.010073356,0.02357316,0.02594477
0.0047405213,9.648385,6.3265996,0.005665774,-0.11790835,-0.38161102,0.035521764,8.151454,6.188803,0.008971461,-0.0117972195,-0.07594418
-0.62490743,6.950236,7.827699,-0.019868374,0.25875083,0.60750115,-0.12958553,7.8511496,6.598527,0.0017615026,0.055839792,0.094917156
-0.18199919,6.5528154,6.2188654,-0.015714496,0.43529072,0.12406281,-0.14268894,7.526566,6.5036116,-0.0026074974,0.15070252,0.10220357
-1.8937799,8.278961,11.031004,0.04854847,-0.24008128,-0.73420215,-0.5804617,7.714665,7.63546,0.010181495,0.053006575,-0.10689785
-2.8538134,6.856866,-0.47982305,0.14091122,-0.41197863,-0.45100522,-1.1487997,7.500215,5.606639,0.042863924,-0.06323972,-0.1929247
